field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
record_id,winter_minute_survey_on_covid19_vaccines,,text,"Record ID",,,,,,,,,,,,,
cope_vaccine3,winter_minute_survey_on_covid19_vaccines,,descriptive,"COVID-19 Vaccine Survey",,"Start Date: 11/1/2021; End Date: 1/20/2022",,,,,,,,,,,
cdc_covid_xx_b_dose7,winter_minute_survey_on_covid19_vaccines,,radio,"Which vaccine did you receive for your additional dose of the COVID-19 vaccination?","cope_a_335, AstraZeneca | cope_a_336, Johnson & Johnson (Janssen Pharmaceuticals) | cope_a_330, Pfizer (Pfizer-BioNTech) | cope_a_331, Moderna | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose7] = 'COPE_A_44'",,,,,,
cdc_covid_xx_b_dose7_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_b_dose7] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_symptom_dose7,winter_minute_survey_on_covid19_vaccines,,checkbox,"Since receiving your additional COVID-19 vaccine, have you experienced any of the following adverse reactions related to the vaccine? Please select all that apply.","cope_a_337, Swelling, redness, and/or pain at the injection site | cope_a_338, Fever | cope_a_339, Guillain-Barre syndrome | cope_a_340, Headache | cope_a_341, Tiredness | cope_a_342, Muscle pain | cope_a_343, Chills | cope_a_344, Nausea | cope_a_345, Severe allergic reaction (anaphylaxis) | cope_a_346, Fainting or dizziness | cope_a_347, Multisystem inflammatory syndrome | cope_a_348, COVID-19 infection | cope_a_349, Hospitalization | cope_a_357, Myocarditis | cope_a_358, Thrombocytopenia | cope_a_350, Other complication or event following vaccination | COPE_A_236, None of the above","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose7] = 'COPE_A_44'",,,,,,@NONEOFTHEABOVE='COPE_A_236'
cdc_covid_xx_symptom_cope_350_dose7,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_symptom_dose7(cope_a_350)] = '1'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_type_dose7,winter_minute_survey_on_covid19_vaccines,,radio,"What type of vaccine did you receive for the additional dose?","cope_a_361, Booster dose | cope_a_362, Additional full dose | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose7] = 'COPE_A_44'",,,,,,
cdc_covid_xx_type_dose7_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_type_dose7] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_dose8,winter_minute_survey_on_covid19_vaccines,,radio,"Have you received a dose in addition to the one(s) previously indicated? This includes boosters or additional full doses of the COVID-19 vaccine. ","COPE_A_44, Yes | COPE_A_13, No | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose7] = 'COPE_A_44'",,,,,,
cdc_covid_xx_a_date8,winter_minute_survey_on_covid19_vaccines,,text,"Enter date of vaccination. If you can't remember the exact date you received your vaccine, use your best guess.",,"Start Date: 11/1/2021; End Date: 03/08/2022",date_mdy,2020-03-01,,,"[cdc_covid_xx_dose8] = 'COPE_A_44'",,,,,,REGISTERED_QUESTION_SUPPRESSED
cdc_covid_xx_b_dose8,winter_minute_survey_on_covid19_vaccines,,radio,"Which vaccine did you receive for your additional dose of the COVID-19 vaccination?","cope_a_335, AstraZeneca | cope_a_336, Johnson & Johnson (Janssen Pharmaceuticals) | cope_a_330, Pfizer (Pfizer-BioNTech) | cope_a_331, Moderna | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose8] = 'COPE_A_44'",,,,,,
cdc_covid_xx_b_dose8_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_b_dose8] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_symptom_dose8,winter_minute_survey_on_covid19_vaccines,,checkbox,"Since receiving your additional COVID-19 vaccine, have you experienced any of the following adverse reactions related to the vaccine? Please select all that apply.","cope_a_337, Swelling, redness, and/or pain at the injection site | cope_a_338, Fever | cope_a_339, Guillain-Barre syndrome | cope_a_340, Headache | cope_a_341, Tiredness | cope_a_342, Muscle pain | cope_a_343, Chills | cope_a_344, Nausea | cope_a_345, Severe allergic reaction (anaphylaxis) | cope_a_346, Fainting or dizziness | cope_a_347, Multisystem inflammatory syndrome | cope_a_348, COVID-19 infection | cope_a_349, Hospitalization | cope_a_357, Myocarditis | cope_a_358, Thrombocytopenia | cope_a_350, Other complication or event following vaccination | COPE_A_236, None of the above","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose8] = 'COPE_A_44'",,,,,,@NONEOFTHEABOVE='COPE_A_236'
cdc_covid_xx_symptom_cope_350_dose8,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_symptom_dose8(cope_a_350)] = '1'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_type_dose8,winter_minute_survey_on_covid19_vaccines,,radio,"What type of vaccine did you receive for the additional dose?","cope_a_361, Booster dose | cope_a_362, Additional full dose | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose8] = 'COPE_A_44'",,,,,,
cdc_covid_xx_type_dose8_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_type_dose8] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_dose9,winter_minute_survey_on_covid19_vaccines,,radio,"Have you received a dose in addition to the one(s) previously indicated? This includes boosters or additional full doses of the COVID-19 vaccine. ","COPE_A_44, Yes | COPE_A_13, No | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose8] = 'COPE_A_44'",,,,,,
cdc_covid_xx_a_date9,winter_minute_survey_on_covid19_vaccines,,text,"Enter date of vaccination. If you can't remember the exact date you received your vaccine, use your best guess.",,"Start Date: 11/1/2021; End Date: 03/08/2022",date_mdy,2020-03-01,,,"[cdc_covid_xx_dose9] = 'COPE_A_44'",,,,,,REGISTERED_QUESTION_SUPPRESSED
cdc_covid_xx_b_dose9,winter_minute_survey_on_covid19_vaccines,,radio,"Which vaccine did you receive for your additional dose of the COVID-19 vaccination?","cope_a_335, AstraZeneca | cope_a_336, Johnson & Johnson (Janssen Pharmaceuticals) | cope_a_330, Pfizer (Pfizer-BioNTech) | cope_a_331, Moderna | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose9] = 'COPE_A_44'",,,,,,
cdc_covid_xx_b_dose9_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_b_dose9] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_symptom_dose9,winter_minute_survey_on_covid19_vaccines,,checkbox,"Since receiving your additional COVID-19 vaccine, have you experienced any of the following adverse reactions related to the vaccine? Please select all that apply.","cope_a_337, Swelling, redness, and/or pain at the injection site | cope_a_338, Fever | cope_a_339, Guillain-Barre syndrome | cope_a_340, Headache | cope_a_341, Tiredness | cope_a_342, Muscle pain | cope_a_343, Chills | cope_a_344, Nausea | cope_a_345, Severe allergic reaction (anaphylaxis) | cope_a_346, Fainting or dizziness | cope_a_347, Multisystem inflammatory syndrome | cope_a_348, COVID-19 infection | cope_a_349, Hospitalization | cope_a_357, Myocarditis | cope_a_358, Thrombocytopenia | cope_a_350, Other complication or event following vaccination | COPE_A_236, None of the above","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose9] = 'COPE_A_44'",,,,,,@NONEOFTHEABOVE='COPE_A_236'
cdc_covid_xx_symptom_cope_350_dose9,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_symptom_dose9(cope_a_350)] = '1'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_type_dose9,winter_minute_survey_on_covid19_vaccines,,radio,"What type of vaccine did you receive for the additional dose?","cope_a_361, Booster dose | cope_a_362, Additional full dose | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose9] = 'COPE_A_44'",,,,,,
cdc_covid_xx_type_dose9_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_type_dose9] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_dose10,winter_minute_survey_on_covid19_vaccines,,radio,"Have you received a dose in addition to the one(s) previously indicated? This includes boosters or additional full doses of the COVID-19 vaccine. ","COPE_A_44, Yes | COPE_A_13, No | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose9] = 'COPE_A_44'",,,,,,
cdc_covid_xx_a_date10,winter_minute_survey_on_covid19_vaccines,,text,"Enter date of vaccination. If you can't remember the exact date you received your vaccine, use your best guess.",,"Start Date: 11/1/2021; End Date: 03/08/2022",date_mdy,2020-03-01,,,"[cdc_covid_xx_dose10] = 'COPE_A_44'",,,,,,REGISTERED_QUESTION_SUPPRESSED
cdc_covid_xx_b_dose10,winter_minute_survey_on_covid19_vaccines,,radio,"Which vaccine did you receive for your additional dose of the COVID-19 vaccination?","cope_a_335, AstraZeneca | cope_a_336, Johnson & Johnson (Janssen Pharmaceuticals) | cope_a_330, Pfizer (Pfizer-BioNTech) | cope_a_331, Moderna | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose10] = 'COPE_A_44'",,,,,,
cdc_covid_xx_b_dose10_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_b_dose10] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_symptom_dose10,winter_minute_survey_on_covid19_vaccines,,checkbox,"Since receiving your additional COVID-19 vaccine, have you experienced any of the following adverse reactions related to the vaccine? Please select all that apply.","cope_a_337, Swelling, redness, and/or pain at the injection site | cope_a_338, Fever | cope_a_339, Guillain-Barre syndrome | cope_a_340, Headache | cope_a_341, Tiredness | cope_a_342, Muscle pain | cope_a_343, Chills | cope_a_344, Nausea | cope_a_345, Severe allergic reaction (anaphylaxis) | cope_a_346, Fainting or dizziness | cope_a_347, Multisystem inflammatory syndrome | cope_a_348, COVID-19 infection | cope_a_349, Hospitalization | cope_a_357, Myocarditis | cope_a_358, Thrombocytopenia | cope_a_350, Other complication or event following vaccination | COPE_A_236, None of the above","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose10] = 'COPE_A_44'",,,,,,@NONEOFTHEABOVE='COPE_A_236'
cdc_covid_xx_symptom_cope_350_dose10,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_symptom_dose10(cope_a_350)] = '1'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_type_dose10,winter_minute_survey_on_covid19_vaccines,,radio,"What type of vaccine did you receive for the additional dose?","cope_a_361, Booster dose | cope_a_362, Additional full dose | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose10] = 'COPE_A_44'",,,,,,
cdc_covid_xx_type_dose10_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_type_dose10] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_dose11,winter_minute_survey_on_covid19_vaccines,,radio,"Have you received a dose in addition to the one(s) previously indicated? This includes boosters or additional full doses of the COVID-19 vaccine. ","COPE_A_44, Yes | COPE_A_13, No | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose10] = 'COPE_A_44'",,,,,,
cdc_covid_xx_a_date11,winter_minute_survey_on_covid19_vaccines,,text,"Enter date of vaccination. If you can't remember the exact date you received your vaccine, use your best guess.",,"Start Date: 11/1/2021; End Date: 03/08/2022",date_mdy,2020-03-01,,,"[cdc_covid_xx_dose11] = 'COPE_A_44'",,,,,,REGISTERED_QUESTION_SUPPRESSED
cdc_covid_xx_b_dose11,winter_minute_survey_on_covid19_vaccines,,radio,"Which vaccine did you receive for your additional dose of the COVID-19 vaccination?","cope_a_335, AstraZeneca | cope_a_336, Johnson & Johnson (Janssen Pharmaceuticals) | cope_a_330, Pfizer (Pfizer-BioNTech) | cope_a_331, Moderna | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose11] = 'COPE_A_44'",,,,,,
cdc_covid_xx_b_dose11_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_b_dose11] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_symptom_dose11,winter_minute_survey_on_covid19_vaccines,,checkbox,"Since receiving your additional COVID-19 vaccine, have you experienced any of the following adverse reactions related to the vaccine? Please select all that apply.","cope_a_337, Swelling, redness, and/or pain at the injection site | cope_a_338, Fever | cope_a_339, Guillain-Barre syndrome | cope_a_340, Headache | cope_a_341, Tiredness | cope_a_342, Muscle pain | cope_a_343, Chills | cope_a_344, Nausea | cope_a_345, Severe allergic reaction (anaphylaxis) | cope_a_346, Fainting or dizziness | cope_a_347, Multisystem inflammatory syndrome | cope_a_348, COVID-19 infection | cope_a_349, Hospitalization | cope_a_357, Myocarditis | cope_a_358, Thrombocytopenia | cope_a_350, Other complication or event following vaccination | COPE_A_236, None of the above","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose11] = 'COPE_A_44'",,,,,,@NONEOFTHEABOVE='COPE_A_236'
cdc_covid_xx_symptom_cope_350_dose11,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_symptom_dose11(cope_a_350)] = '1'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_type_dose11,winter_minute_survey_on_covid19_vaccines,,radio,"What type of vaccine did you receive for the additional dose?","cope_a_361, Booster dose | cope_a_362, Additional full dose | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose11] = 'COPE_A_44'",,,,,,
cdc_covid_xx_type_dose11_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_type_dose11] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_dose12,winter_minute_survey_on_covid19_vaccines,,radio,"Have you received a dose in addition to the one(s) previously indicated? This includes boosters or additional full doses of the COVID-19 vaccine. ","COPE_A_44, Yes | COPE_A_13, No | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose11] = 'COPE_A_44'",,,,,,
cdc_covid_xx_a_date12,winter_minute_survey_on_covid19_vaccines,,text,"Enter date of vaccination. If you can't remember the exact date you received your vaccine, use your best guess.",,"Start Date: 11/1/2021; End Date: 03/08/2022",date_mdy,2020-03-01,,,"[cdc_covid_xx_dose12] = 'COPE_A_44'",,,,,,REGISTERED_QUESTION_SUPPRESSED
cdc_covid_xx_b_dose12,winter_minute_survey_on_covid19_vaccines,,radio,"Which vaccine did you receive for your additional dose of the COVID-19 vaccination?","cope_a_335, AstraZeneca | cope_a_336, Johnson & Johnson (Janssen Pharmaceuticals) | cope_a_330, Pfizer (Pfizer-BioNTech) | cope_a_331, Moderna | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose12] = 'COPE_A_44'",,,,,,
cdc_covid_xx_b_dose12_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_b_dose12] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_symptom_dose12,winter_minute_survey_on_covid19_vaccines,,checkbox,"Since receiving your additional COVID-19 vaccine, have you experienced any of the following adverse reactions related to the vaccine? Please select all that apply.","cope_a_337, Swelling, redness, and/or pain at the injection site | cope_a_338, Fever | cope_a_339, Guillain-Barre syndrome | cope_a_340, Headache | cope_a_341, Tiredness | cope_a_342, Muscle pain | cope_a_343, Chills | cope_a_344, Nausea | cope_a_345, Severe allergic reaction (anaphylaxis) | cope_a_346, Fainting or dizziness | cope_a_347, Multisystem inflammatory syndrome | cope_a_348, COVID-19 infection | cope_a_349, Hospitalization | cope_a_357, Myocarditis | cope_a_358, Thrombocytopenia | cope_a_350, Other complication or event following vaccination | COPE_A_236, None of the above","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose12] = 'COPE_A_44'",,,,,,@NONEOFTHEABOVE='COPE_A_236'
cdc_covid_xx_symptom_cope_350_dose12,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_symptom_dose12(cope_a_350)] = '1'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_type_dose12,winter_minute_survey_on_covid19_vaccines,,radio,"What type of vaccine did you receive for the additional dose?","cope_a_361, Booster dose | cope_a_362, Additional full dose | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose12] = 'COPE_A_44'",,,,,,
cdc_covid_xx_type_dose12_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_type_dose12] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_dose13,winter_minute_survey_on_covid19_vaccines,,radio,"Have you received a dose in addition to the one(s) previously indicated? This includes boosters or additional full doses of the COVID-19 vaccine. ","COPE_A_44, Yes | COPE_A_13, No | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose12] = 'COPE_A_44'",,,,,,
cdc_covid_xx_a_date13,winter_minute_survey_on_covid19_vaccines,,text,"Enter date of vaccination. If you can't remember the exact date you received your vaccine, use your best guess.",,"Start Date: 11/1/2021; End Date: 03/08/2022",date_mdy,2020-03-01,,,"[cdc_covid_xx_dose13] = 'COPE_A_44'",,,,,,REGISTERED_QUESTION_SUPPRESSED
cdc_covid_xx_b_dose13,winter_minute_survey_on_covid19_vaccines,,radio,"Which vaccine did you receive for your additional dose of the COVID-19 vaccination?","cope_a_335, AstraZeneca | cope_a_336, Johnson & Johnson (Janssen Pharmaceuticals) | cope_a_330, Pfizer (Pfizer-BioNTech) | cope_a_331, Moderna | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose13] = 'COPE_A_44'",,,,,,
cdc_covid_xx_b_dose13_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_b_dose13] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_symptom_dose13,winter_minute_survey_on_covid19_vaccines,,checkbox,"Since receiving your additional COVID-19 vaccine, have you experienced any of the following adverse reactions related to the vaccine? Please select all that apply.","cope_a_337, Swelling, redness, and/or pain at the injection site | cope_a_338, Fever | cope_a_339, Guillain-Barre syndrome | cope_a_340, Headache | cope_a_341, Tiredness | cope_a_342, Muscle pain | cope_a_343, Chills | cope_a_344, Nausea | cope_a_345, Severe allergic reaction (anaphylaxis) | cope_a_346, Fainting or dizziness | cope_a_347, Multisystem inflammatory syndrome | cope_a_348, COVID-19 infection | cope_a_349, Hospitalization | cope_a_357, Myocarditis | cope_a_358, Thrombocytopenia | cope_a_350, Other complication or event following vaccination | COPE_A_236, None of the above","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose13] = 'COPE_A_44'",,,,,,@NONEOFTHEABOVE='COPE_A_236'
cdc_covid_xx_symptom_cope_350_dose13,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_symptom_dose13(cope_a_350)] = '1'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_type_dose13,winter_minute_survey_on_covid19_vaccines,,radio,"What type of vaccine did you receive for the additional dose?","cope_a_361, Booster dose | cope_a_362, Additional full dose | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose13] = 'COPE_A_44'",,,,,,
cdc_covid_xx_type_dose13_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_type_dose13] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_dose14,winter_minute_survey_on_covid19_vaccines,,radio,"Have you received a dose in addition to the one(s) previously indicated? This includes boosters or additional full doses of the COVID-19 vaccine. ","COPE_A_44, Yes | COPE_A_13, No | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose13] = 'COPE_A_44'",,,,,,
cdc_covid_xx_a_date14,winter_minute_survey_on_covid19_vaccines,,text,"Enter date of vaccination. If you can't remember the exact date you received your vaccine, use your best guess.",,"Start Date: 11/1/2021; End Date: 03/08/2022",date_mdy,2020-03-01,,,"[cdc_covid_xx_dose14] = 'COPE_A_44'",,,,,,REGISTERED_QUESTION_SUPPRESSED
cdc_covid_xx_b_dose14,winter_minute_survey_on_covid19_vaccines,,radio,"Which vaccine did you receive for your additional dose of the COVID-19 vaccination?","cope_a_335, AstraZeneca | cope_a_336, Johnson & Johnson (Janssen Pharmaceuticals) | cope_a_330, Pfizer (Pfizer-BioNTech) | cope_a_331, Moderna | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose14] = 'COPE_A_44'",,,,,,
cdc_covid_xx_b_dose14_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_b_dose14] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_symptom_dose14,winter_minute_survey_on_covid19_vaccines,,checkbox,"Since receiving your additional COVID-19 vaccine, have you experienced any of the following adverse reactions related to the vaccine? Please select all that apply.","cope_a_337, Swelling, redness, and/or pain at the injection site | cope_a_338, Fever | cope_a_339, Guillain-Barre syndrome | cope_a_340, Headache | cope_a_341, Tiredness | cope_a_342, Muscle pain | cope_a_343, Chills | cope_a_344, Nausea | cope_a_345, Severe allergic reaction (anaphylaxis) | cope_a_346, Fainting or dizziness | cope_a_347, Multisystem inflammatory syndrome | cope_a_348, COVID-19 infection | cope_a_349, Hospitalization | cope_a_357, Myocarditis | cope_a_358, Thrombocytopenia | cope_a_350, Other complication or event following vaccination | COPE_A_236, None of the above","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose14] = 'COPE_A_44'",,,,,,@NONEOFTHEABOVE='COPE_A_236'
cdc_covid_xx_symptom_cope_350_dose14,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_symptom_dose14(cope_a_350)] = '1'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_type_dose14,winter_minute_survey_on_covid19_vaccines,,radio,"What type of vaccine did you receive for the additional dose?","cope_a_361, Booster dose | cope_a_362, Additional full dose | COPE_A_204, Other | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose14] = 'COPE_A_44'",,,,,,
cdc_covid_xx_type_dose14_other,winter_minute_survey_on_covid19_vaccines,,text,"Please specify:",,"Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_type_dose14] = 'COPE_A_204'",,,,,,"REGISTERED_QUESTION_SUPPRESSED, CONTROLLED_QUESTION_SUPPRESSED"
cdc_covid_xx_dose15,winter_minute_survey_on_covid19_vaccines,,radio,"Have you received a dose in addition to the one(s) previously indicated? This includes boosters or additional full doses of the COVID-19 vaccine. ","COPE_A_44, Yes | COPE_A_13, No | COPE_A_52, Not sure","Start Date: 11/1/2021; End Date: 03/08/2022",,,,,"[cdc_covid_xx_dose14] = 'COPE_A_44'",,,,,,
